20,FTP-DATA,MEDIUM
21,FTP,HIGH
22,SSH,MEDIUM
23,TELNET,CRITICAL
25,SMTP,MEDIUM
53,DNS,LOW
80,HTTP,LOW
110,POP3,MEDIUM
111,RPCBIND,HIGH
135,MSRPC,HIGH
139,NETBIOS-SSN,HIGH
143,IMAP,MEDIUM
161,SNMP,HIGH
389,LDAP,HIGH
443,HTTPS,LOW
445,MICROSOFT-DS,CRITICAL
465,SMTPS,LOW
514,SYSLOG,MEDIUM
593,HTTP-RPC-EPMAP,HIGH
636,LDAPS,LOW
873,RSYNC,HIGH
993,IMAPS,LOW
995,POP3S,LOW
1080,SOCKS,MEDIUM
1433,MS-SQL-S,HIGH
1434,MS-SQL-M,HIGH
1521,ORACLE,HIGH
1723,PPTP,HIGH
2049,NFS,CRITICAL
2181,ZOOKEEPER,HIGH
2375,DOCKER-REST,CRITICAL
3306,MYSQL,HIGH
3389,RDP,CRITICAL
3690,SVN,MEDIUM
4333,MSQL,HIGH
5432,POSTGRESQL,HIGH
5632,PCAnywhere,HIGH
5900,VNC,CRITICAL
5984,COUCHDB,HIGH
6379,REDIS,CRITICAL
8000,HTTP-ALT,MEDIUM
8080,HTTP-PROXY,MEDIUM
8443,HTTPS-ALT,LOW
8888,HTTP-ALT,MEDIUM
9000,SONARQUBE,HIGH
9200,ELASTICSEARCH,CRITICAL
11211,MEMCACHED,CRITICAL
27017,MONGODB,CRITICAL
50000,SAP,HIGH
