33,dsp,TARGET
2004,mailbox,TARGET
1042,afrog,TARGET
42510,caerpc,TARGET
999,garcon,TARGET
3052,powerchute,TARGET
1023,netvenuechat,TARGET
222,rsh-spx,TARGET
1068,instl_bootc,TARGET
888,accessbuilder,TARGET
7100,font-service,TARGET
563,snews,TARGET
1717,fj-hdnet,TARGET
992,telnets,TARGET
2008,conf,TARGET
32770,sometimes-rpc3,TARGET
7001,afs3-callback,TARGET
32772,sometimes-rpc7,TARGET
2007,dectalk,TARGET
8082,blackice-alerts,TARGET
5550,sdadmind,TARGET
512,exec,TARGET
1043,boinc,TARGET
2009,news,TARGET
5801,vnc-http-1,TARGET
1700,mps-raft,TARGET
2701,sms-rcinfo,TARGET
7019,doceri-ctl,TARGET
50001,unknown,TARGET
4662,edonkey,TARGET
2065,dlsrpn,TARGET
42,nameserver,TARGET
2010,search,TARGET
161,snmp,TARGET
2602,ripd,TARGET
3333,dec-notes,TARGET
9535,man,TARGET
5100,admd,TARGET
2604,ospfd,TARGET
4002,mlchat-proxy,TARGET
5002,rfe,TARGET
1047,neod1,TARGET
1051,optima-vnet,TARGET
1052,ddt,TARGET
1055,ansyslmd,TARGET
1060,polestar,TARGET
1062,veracity,TARGET
1311,rxmon,TARGET
2702,sms-xfer,TARGET
3283,netassistant,TARGET
4443,pharos,TARGET
5225,hp-server,TARGET
5226,hp-status,TARGET
6059,X11:59,TARGET
6789,ibm-db2-admin,TARGET
8089,unknown,TARGET
8192,sophos,TARGET
8193,sophos,TARGET
8194,sophos,TARGET
8651,unknown,TARGET
8652,unknown,TARGET
8701,unknown,TARGET
9415,unknown,TARGET
9593,cba8,TARGET
9594,msgsys,TARGET
9595,pds,TARGET
16992,amt-soap-http,TARGET
16993,amt-soap-https,TARGET
20828,unknown,TARGET
23502,unknown,TARGET
32769,filenet-rpc,TARGET
33354,unknown,TARGET
35500,unknown,TARGET
52869,unknown,TARGET
55555,unknown,TARGET
55600,unknown,TARGET
64623,unknown,TARGET
64680,unknown,TARGET
65000,unknown,TARGET
65389,unknown,TARGET
1067,instl_boots,TARGET
13782,netbackup,TARGET
366,odmr,TARGET
5902,vnc-2,TARGET
9050,tor-socks,TARGET
85,mit-ml-dev,TARGET
1002,windows-icfw,TARGET
5500,hotline,TARGET
1863,msnp,TARGET
1864,paradym-31,TARGET
5431,park-agent,TARGET
8085,unknown,TARGET
10243,unknown,TARGET
45100,unknown,TARGET
49999,unknown,TARGET
51103,unknown,TARGET
49,tacacs,TARGET
90,dnsix,TARGET
6667,irc,TARGET
1503,imtc-mcs,TARGET
6881,bittorrent-tracker,TARGET
27000,flexlm0,TARGET
340,unknown,TARGET
1500,vlsi-lm,TARGET
8021,ftp-proxy,TARGET
2222,EtherNetIP-1,TARGET
5566,westec-connect,TARGET
8088,radan-http,TARGET
8899,ospf-lite,TARGET
9071,unknown,TARGET
1501,sas-3,TARGET
5102,admeng,TARGET
6005,X11:5,TARGET
9101,jetdirect,TARGET
9876,sd,TARGET
32773,sometimes-rpc9,TARGET
32774,sometimes-rpc11,TARGET
163,cmip-man,TARGET
5679,activesync,TARGET
146,iso-tp0,TARGET
648,rrp,TARGET
1666,netview-aix-6,TARGET
901,samba-swat,TARGET
83,mit-ml-dev,TARGET
3476,nppmp,TARGET
5004,avt-profile-1,TARGET
5214,unknown,TARGET
8001,vcom-tunnel,TARGET
8083,us-srv,TARGET
8084,websnp,TARGET
9207,wap-vcal-s,TARGET
14238,unknown,TARGET
30,unknown,TARGET
912,apex-mesh,TARGET
12345,netbus,TARGET
2030,device2,TARGET
2605,bgpd,TARGET
6,unknown,TARGET
541,uucp-rlogin,TARGET
4,unknown,TARGET
1248,hermes,TARGET
3005,deslogin,TARGET
8007,ajp12,TARGET
306,unknown,TARGET
880,unknown,TARGET
2500,rtsserv,TARGET
1086,cplscrambler-lg,TARGET
1088,cplscrambler-al,TARGET
1097,sunclustermgr,TARGET
2525,ms-v-worlds,TARGET
4242,vrml-multi-use,TARGET
8291,winbox,TARGET
9009,pichat,TARGET
52822,unknown,TARGET
900,omginitialrefs,TARGET
6101,backupexec,TARGET
2809,corbaloc,TARGET
7200,fodms,TARGET
211,914c-g,TARGET
800,mdbs_daemon,TARGET
987,unknown,TARGET
1083,ansoft-lm-1,TARGET
12000,cce4x,TARGET
32775,sometimes-rpc13,TARGET
705,agentx,TARGET
711,cisco-tdp,TARGET
20005,btx,TARGET
6969,acmsoda,TARGET
13783,netbackup,TARGET
1045,fpitp,TARGET
1046,wfremotertm,TARGET
1057,startron,TARGET
1061,kiosk,TARGET
1063,kyoceranetdev,TARGET
1070,gmrupdateserv,TARGET
1072,cardax,TARGET
1073,bridgecontrol,TARGET
1075,rdrmshc,TARGET
1077,imgames,TARGET
1078,avocent-proxy,TARGET
1079,asprovatalk,TARGET
1081,pvuniwien,TARGET
1082,amt-esd-prot,TARGET
